año,mes,nombre_mes,estado,índice,var_mensual,var_acum,var_12
2017,5,Mayo,R,93.9223921883592,0.03755230586584,-0.0991291880987899,1.79549851409568
2017,6,Junio,R,94.6471408214753,0.771646266912174,0.67175215213402,2.63895761549797
2017,7,Julio,R,95.3491491555668,0.741711083925534,1.41844569622842,3.16160126802008
2017,8,Agosto,R,95.6320599773319,0.296710378929044,1.71936475075765,2.95641988767883
2017,9,Septiembre,R,95.9086538553818,0.289227146330973,2.01356476669226,3.25827676494894
2017,10,Octubre,R,95.6265818786603,-0.294104823061014,1.71353795253695,2.92090899402913
2017,11,Noviembre,R,96.101911247972,0.497068241877452,2.21912364738899,3.2681187321042
2017,12,Diciembre,R,96.6608256700123,0.581585126437423,2.81361486689686,2.81361486689686
2018,1,Enero,R,96.9731091852475,0.323071433613964,0.323071433613964,2.59274133118892
2018,2,Febrero,R,96.565138824891,-0.420704630164226,-0.0989923730302156,2.78427676889748
2018,3,Marzo,R,96.8616362047148,0.307043911945848,0.207747588860929,2.64565930217318
2018,4,Abril,R,96.8296693595448,-0.0330025863928829,0.174676440390575,3.13411836752304
2018,5,Mayo,R,96.4303467499014,-0.41239695672266,-0.238440876656376,2.67024135896432
2018,6,Junio,R,96.4894021813399,0.0612415421378243,-0.177345359388503,1.94645220539684
2018,7,Julio,R,96.6361773367236,0.152115312216194,-0.0254998166194342,1.34980562758562
2018,8,Agosto,R,96.5197566130839,-0.12047322943467,-0.145942325601522,0.928241675398822
2018,9,Septiembre,R,97.1192349722021,0.621093939887674,0.474245175346111,1.26222303009864
2018,10,Octubre,R,96.7139785753,-0.417277171734398,0.0549890867569403,1.13712806133706
2018,11,Noviembre,R,97.2432340347608,0.54723781118029,0.602527819011978,1.18761715762743
2018,12,Diciembre,R,97.8170965526048,0.5901310497745,1.19621457253001,1.19621457253001
2019,1,Enero,R,98.4820922825607,0.679835891058467,0.679835891058467,1.55608406288246
2019,2,Febrero,R,98.5775857732492,0.09696533499155,0.777460431199173,2.08403050298265
2019,3,Marzo,R,98.9950175943511,0.423455106784631,1.20420773388297,2.2025039770414
2019,4,Abril,R,99.3516841953268,0.360287426218986,1.56883376915269,2.60458891625179
2019,5,Mayo,R,98.6769869966305,-0.679099910747161,0.879079909679437,2.32980625129959
2019,6,Junio,R,98.527762964807,-0.151224754996471,0.726525768243347,2.11252296872582
2019,7,Julio,R,98.9605350873578,0.439238758222271,1.16895570922821,2.40526665550422
2019,8,Agosto,R,98.9852820395585,0.0250068900485179,1.19425491874565,2.55442565645716
2019,9,Septiembre,R,99.1742638711125,0.190919122176658,1.38745410192973,2.11598546827376
2019,10,Octubre,R,98.3775277079223,-0.803369878525839,0.572937835070619,1.72007103536442
2019,11,Noviembre,R,98.5483854733369,0.173675603967083,0.747608492283103,1.34215141190133
2019,12,Diciembre,R,99.348098960415,0.811493240845085,1.56516852551105,1.56516852551105
2020,1,Enero,R,99.6366236959973,0.290417973369839,0.290417973369839,1.17232624396726
2020,2,Febrero,R,99.1114851360468,-0.527053748381401,-0.238166433826181,0.541603203821306
2020,3,Marzo,R,99.8758942632814,0.77126190389063,0.531258583092487,0.889819195285035
2020,4,Abril,R,98.6368120218823,-1.24062192437826,-0.715954251742756,-0.71953704583313
2020,5,Mayo,R,98.5348014302171,-0.103420406209564,-0.818634215156888,-0.14409192126863
2020,6,Junio,R,98.6494251245997,0.116328132516519,-0.70325838453501,0.123480079250538
2020,7,Julio,R,99.284295994677,0.643562665748365,-0.0642216271932505,0.327161637751305
2020,8,Agosto,R,99.365789145782,0.082080605284629,0.0178062645910693,0.384407760813876
2020,9,Septiembre,R,99.7287360955061,0.365263490426826,0.383134794801454,0.559088822795983
2020,10,Octubre,R,99.3934449785439,-0.336203114658007,0.045643569029985,1.03267208913591
2020,11,Noviembre,R,100.343176027344,0.955526844858556,1.00160655044357,1.82122776074536
2020,12,Diciembre,R,100.366954272748,0.0236969232445761,1.02554082362363,1.02554082362363
2021,1,Enero,R,100.821407204769,0.452791394651197,0.452791394651197,1.18910443250884
2021,2,Febrero,R,100.396943340252,-0.421005693418441,0.0298794236819777,1.29698208279345
2021,3,Marzo,R,101.310536353708,0.909980904856988,0.940132225588952,1.4364247759775
2021,4,Abril,R,101.022770761665,-0.284043103906084,0.653418740928502,2.4189333483869
2021,5,Mayo,R,100.374943971103,-0.641268088053371,0.00796048700819618,1.86750520037282
2021,6,Junio,R,100.697067923078,0.320920679235437,0.328906713092625,2.07567636191663
2021,7,Julio,R,101.205625725121,0.505037348685722,0.835605163521791,1.93517989042962
