Año,Trimestre,Trim_año,mes_año,Población en edad de trabajar (Total) - nota,Población en edad de trabajar (Total) - en miles,Fuerza de trabajo (Total) - nota,Fuerza de trabajo (Total) - en miles,Población ocupada (Total) - nota,Población ocupada (Total) - en miles,Población desocupada (Total) - nota,Población desocupada (Total) - en miles,Población desocupada (Cesantes) - nota,Población desocupada (Cesantes) - en miles,Población desocupada (Buscan trabajo por primera vez) - nota,Población desocupada (Buscan trabajo por primera vez) - en miles,Fuera de la fuerza de trabajo (Total) - nota,Fuera de la fuerza de trabajo (Total) - en miles,Fuera de la fuerza de trabajo (Iniciadores) - nota,Fuera de la fuerza de trabajo (Iniciadores) - en miles,Fuera de la fuerza de trabajo (Inactivos potencialmente activos) - nota,Fuera de la fuerza de trabajo (Inactivos potencialmente activos) - en miles,Fuera de la fuerza de trabajo (Inactivos habituales) - nota,Fuera de la fuerza de trabajo (Inactivos habituales) - en miles,Tasa de desocupación [1] - nota,Tasa de desocupación [1] - tasa (%),Tasa de ocupación [2] - nota,Tasa de ocupación [2] - tasa (%),Tasa de participación [3] - nota,Tasa de participación [3] - tasa (%)
2011,Abr - Jun,2011_Abr - Jun,01/mayo/2011,,13479.195000067613,,8296.939796589877,,7698.5433083204725,,598.3964882694042,,534.9560793435985,,63.44040892580591,,5182.255203477737,,39.27410098822025,,885.9444383361075,,4257.03666415341,,7.212255397048333,,57.1142661581931,,61.55367435924962
2011,May - Jul,2011_May - Jul,01/junio/2011,,13496.488000016845,,8285.241446104248,,7659.426562160915,,625.814883943334,,553.1350666304795,,72.67981731285452,,5211.246553912598,,42.925041062530184,,913.5452007683549,,4254.776312081713,,7.553369301477564,,56.75125678733131,,61.38812886799816
2011,Jun - Ago,2011_Jun - Ago,01/julio/2011,,13513.926000000843,,8308.548234528658,,7684.189958594433,,624.358275934225,,556.1444359656184,,68.21383996860669,,5205.377765472185,,42.84701475183285,,916.1162935958658,,4246.414457124486,,7.514649470764548,,56.86127006018794,,61.48138027785664
2011,Jul - Sep,2011_Jul - Sep,01/agosto/2011,,13530.963000000906,,8323.162239662124,,7688.406161390224,,634.7560782719003,,567.3590781181081,,67.39700015379226,,5207.80076033878,,46.07339275637813,,951.9948436997679,,4209.732523882633,,7.626381175740099,,56.82083500922816,,61.5119725008602
2011,Ago - Oct,2011_Ago - Oct,01/septiembre/2011,,13548.290000001005,,8322.018944576794,,7703.13611156447,,618.8828330123229,,558.9404319071692,,59.94240110515378,,5226.271055424211,,46.74101910893624,,971.3265983200234,,4208.203437995252,,7.4366909896982385,,56.85688829781396,,61.42486575483825
2011,Sep - Nov,2011_Sep - Nov,01/octubre/2011,,13565.23800008663,,8327.409643300532,,7716.851185045567,,610.5584582549654,,536.6979253713179,,73.86053288364766,,5237.828356786097,,47.311382750083474,,953.0471182871594,,4237.469855748855,,7.3319133368942,,56.8869575675435,,61.387862441096516
2011,Oct - Dic,2011_Oct - Dic,01/noviembre/2011,,13582.706000094657,,8356.354870340132,,7786.90190352638,,569.4529668137515,,476.8521235592232,,92.60084325452834,,5226.351129754525,,53.05978266274369,,931.7492313616045,,4241.542115730176,,6.8146096671283765,,57.32953288889647,,61.522018295042955
2011,Nov - Ene,2011_Nov - Ene,01/diciciembre/2011,,13599.728000153575,,8391.714458478478,,7816.553425677756,,575.1610328007217,,468.67679625486164,,106.48423654586009,,5208.013541675096,,57.69913896484706,,933.670552826355,,4216.643849883894,,6.853915676547048,,57.475807057240324,,61.70501688257085
2012,Dic - Feb,2012_Dic - Feb,01/enero/2012,,13617.05700031194,,8424.025491216456,,7874.073702067556,,549.9517891489012,,448.52156420852504,,101.43022494037614,,5193.031509095482,,61.39744840961813,,924.1269453391673,,4207.507115346696,,6.528372803742388,,57.82507704775839,,61.8637749039567
2012,Ene - Mar,2012_Ene - Mar,01/febrero/2012,,13634.047000324532,,8416.897604371772,,7844.775579746791,,572.1220246249804,,489.6738893778389,,82.44813524714145,,5217.149395952761,,54.03316844437077,,876.6841703203603,,4286.432057188029,,6.797302896114809,,57.53812921108502,,61.734403615972745
